id,name,category,subcategory,unit,image,price,brand,carton_qty,packaging,description
אבי012,מטאטא משרד,אביזרי ניקיון,,יחידה,images/אביזרי ניקיון/מטאטא משרד.webp,0,,,,"מטאטא משרד לטאטוא יומיומי של רצפות פנים. סיבים המתאימים לאבק ולפסולת יבשה במשרדים, בחנויות ובחדרי ישיבות, ומשלים יעה בעמדת ניקיון."
אבי013,מטליות אלכוהול 70%,אביזרי ניקיון,,יחידה,images/אביזרי ניקיון/מטליות אלכוהול 70%.webp,38,,,,"מטליות אלכוהול 70% לחיטוי משטחים ונקודות מגע. ריכוז 70% הוא הסטנדרט המקובל לחיטוי, והמטליות נוחות לשימוש מהיר בין לקוח ללקוח. נפוצות במרפאות, במשרדים, בחדרי כושר ובעסקי מזון."
אבי014,מטליות בד רב שימושיות 700 גרם,אביזרי ניקיון,,יחידה,images/אביזרי ניקיון/מטליות בד רב שימושיות 700 גרם.webp,15,,,,"מטליות בד רב-שימושיות במשקל 700 גרם לניקיון כללי. הבד עבה וסופג ומיועד לשימוש חוזר לאורך זמן, ולכן חסכוני יותר ממטליות חד-פעמיות בעסק שמנקה כל יום."
אבי015,מטליות לחות לניקוי כללי בדלי,אביזרי ניקיון,,יחידה,images/אביזרי ניקיון/מטליות לחות לניקוי כללי.webp,15,,,,"מטליות לחות לניקוי כללי באריזת דלי — שולפים מטלית, מנגבים וזורקים. הדלי נוח להצבה בעמדת ניקיון ושומר על הלחות של המטליות. פתרון מהיר לניגוב משטחים במשרדים, בחדרי כושר ובחנויות."
אבי016,מטלית מיקרופייבר -חמישייה,אביזרי ניקיון,,יחידה,images/אביזרי ניקיון/מטלית מיקרופייבר -חמישייה.webp,5,,,,"מטליות מיקרופייבר במארז חמישייה לניקוי משטחים, זכוכית ומסכים. המיקרופייבר אוסף אבק ולכלוך בלי להשאיר סיבים או סימני מריחה, וניתן לכבס ולהשתמש שוב. מתאים למשרדים, לרכבים ולניקיון עדין."
אבי017,מטלית רב שימושית 3 יח׳,אביזרי ניקיון,,יחידה,images/אביזרי ניקיון/מטליות לניקוי כללי - שלישייה .webp,1.5,,,,מטלית רב-שימושית במארז שלישייה לניקיון יומיומי של משטחים. גודל אריזה נוח למשרד או לעסק קטן שרוצה מלאי שוטף בלי לרכוש קרטון שלם.
אבי018,סחבה מיקרופייבר - שלישייה,אביזרי ניקיון,,יחידה,images/אביזרי ניקיון/סחבה מיקרופייבר - שלישייה.webp,12,,,,"סחבת מיקרופייבר במארז שלישייה לשטיפת רצפות. המיקרופייבר סופג יותר מסחבה רגילה ומייבש מהר יותר, מה שמקצר את זמן ההמתנה לרצפה יבשה בשטחי מסחר ובמשרדים."
אבי019,ספוג הפלא,אביזרי ניקיון,,יחידה,images/אביזרי ניקיון/ספוג הפלא.webp,4,,,,"ספוג הפלא (מלמין) להסרת סימנים וכתמים עיקשים מקירות, דלתות ומשטחים — בעיקר בלי חומר ניקוי, רק עם מים. מתאים לתחזוקת מראה של חללי קבלת קהל, מסדרונות ומטבחונים."
אבי020,מגבונים ארוכים בדלי,אביזרי ניקיון,,יחידה,images/אביזרי ניקיון/מגבונים ארוכים בדלי.webp,0,,,,"מגבונים ארוכים באריזת דלי לניגוב משטחים גדולים ולציוד. האורך מאפשר לכסות שטח גדול במגבון אחד, והדלי נשאר בעמדת הניקיון לשליפה מהירה. נפוץ בחדרי כושר, במרפאות ובאולמות."
אבי021,פח שובך 18 ליטר,אביזרי ניקיון,,יחידה,images/אביזרי ניקיון/פח שובך 18 ליטר.webp,0,,,,"פח שובך בנפח 18 ליטר לפינות עבודה, משרדים וחדרי שירותים. גודל מתאים לפסולת יומיומית בחדר בודד, ומשתלב עם שקיות אשפה במידה תואמת."
אבי022,פח שובך 25/50 ליטר,אביזרי ניקיון,,יחידה,/images/1787078342463__________25-50______.png,0,,,,"פח שובך בנפח 25 או 50 ליטר לאזורים עם נפח פסולת גבוה — מטבחונים, מסדרונות ושטחי קבלת קהל. שני הנפחים מאפשרים להתאים את הפח לתדירות הפינוי בפועל."
אבי023,מטליות לחות לריצפה,אביזרי ניקיון,,יחידה,images/אביזרי ניקיון/מטליות לחות לרצפה.webp,0,,,,"מטליות לחות ייעודיות לניקוי רצפה — מוצמדות למגב, מנגבות וזורקים. חוסכות את שלב הדלי והסחבה ומתאימות לניקיון מהיר בין משמרות במשרדים, בחנויות ובמרפאות."
חדפ001,300 יחידות קופסת אוכל מחולקת,חד פעמי ואריזות,containers,יחידה,images/חד פעמי ואריזות/קופסת אוכל מחולקת.webp,289,,,,"קופסת אוכל חד-פעמית מחולקת במארז 300 יחידות. החלוקה הפנימית מפרידה בין מנה עיקרית לתוספות ומונעת ערבוב בדרך — הפורמט המקובל למשלוחי מזון, לקייטרינג ולמנות עסקיות."
חדפ002,גביע 150/250 מל,חד פעמי ואריזות,cups,יחידה,images/חד פעמי ואריזות/גביע 150-250 מל.png,0,,,,"גביע חד-פעמי בנפח 150/250 מ״ל להגשת קינוחים, סלטים אישיים, רטבים ותוספות. שני הנפחים מאפשרים להתאים את הגודל למנה בלי לבזבז אריזה."
חדפ003,כוס בירה 330 40 יח׳,חד פעמי ואריזות,cups,יחידה,images/חד פעמי ואריזות/כוס בירה 330 40 יח׳.webp,200,,,,"כוס בירה חד-פעמית 330 מ״ל במארז 40 יחידות. נפח סטנדרטי להגשת בירה ומשקאות קרים באירועים, בברים ובפאבים — בלי סיכון של שברי זכוכית."
חדפ004,כוס פלסטיק 500 מל,חד פעמי ואריזות,cups,יחידה,images/חד פעמי ואריזות/כוס פלסטיק 500 מל.webp,0,,,,"כוס פלסטיק חד-פעמית בנפח 500 מ״ל למשקאות קרים, שייקים ומשקאות טייק-אווי. הנפח הגדול מתאים לבתי קפה, לדוכני משקאות ולעסקי משלוחים."
חדפ005,כוסות אספרסו 4oz 50 יח׳,חד פעמי ואריזות,cups,יחידה,images/חד פעמי ואריזות/כוסות אספרסו 4oz 50 יח׳.webp,58,,1000,,"כוסות אספרסו חד-פעמיות 4oz במארז 50 יחידות. הנפח הקטן מיועד לקפה קצר, ומשמש מטבחונים משרדיים, בתי קפה ופינות קפה בעסקים."
חדפ006,כוסות נייר 8B 50 יח׳,חד פעמי ואריזות,cups,יחידה,images/חד פעמי ואריזות/כוסות נייר 8B 50 יח׳.webp,70,,1000,,כוסות נייר 8B במארז 50 יחידות לשתייה חמה. כוס נייר מבודדת טוב יותר מפלסטיק ומתאימה לקפה ותה בפינת קפה משרדית או בעסק שמגיש ללקוחות.
חדפ007,כוסות נייר 8oz,חד פעמי ואריזות,cups,יחידה,images/חד פעמי ואריזות/כוסות נייר 8oz.webp,0,,,,כוסות נייר 8oz לשתייה חמה — הנפח הנפוץ ביותר לקפה במשרדים ובבתי קפה. הכוס מיועדת לשימוש חד-פעמי ומתאימה גם למכסים תואמים.
חדפ008,כוסות פלסטיק לשתיה קרה 180 מ״ל,חד פעמי ואריזות,cups,יחידה,images/חד פעמי ואריזות/כוסות פלסטיק לשתיה קרה 180 מ״ל.webp,75,,,,"כוסות פלסטיק לשתייה קרה בנפח 180 מ״ל. הנפח הקומפקטי מתאים למים ולמשקאות קרים ליד מתקן שתייה, בחדרי ישיבות ובאירועים."
חדפ009,כף חד פעמי 100 יחידות,חד פעמי ואריזות,tableware,יחידה,images/חד פעמי ואריזות/כף חד פעמי 100 יחידות.webp,4,,,,"כף חד-פעמית במארז 100 יחידות. פורמט בסיסי למטבחונים משרדיים, לקייטרינג ולמשלוחי מזון, וכמות שנוחה למלאי שוטף."
חדפ010,כף קשיח - 50 יח׳,חד פעמי ואריזות,tableware,יחידה,images/חד פעמי ואריזות/כף קשיח - 50 יח׳.png,4.5,,,,כף קשיחה במארז 50 יחידות — סכו״ם חד-פעמי בגימור יציב שלא מתעקם במנה חמה או סמיכה. מתאים למסעדות ולקייטרינג שרוצים מראה מכובד יותר מסכו״ם רגיל.
חדפ011,כפית חד פעמי 100 יחידות,חד פעמי ואריזות,tableware,יחידה,images/חד פעמי ואריזות/כפית חד פעמי 100 יחידות.webp,3,,,,"כפית חד-פעמית במארז 100 יחידות לקפה, לקינוחים ולמנות קטנות. פריט שנגמר מהר בפינות קפה משרדיות ובעסקי מזון."
חדפ012,כפית קשיח - 50 יח׳,חד פעמי ואריזות,tableware,יחידה,images/חד פעמי ואריזות/כפית קשיח - 50 יח׳.png,3.5,,,,"כפית קשיחה במארז 50 יחידות. גימור יציב ואיכותי יותר מכפית רגילה, לשימוש בקינוחים ובמנות מוגשות במסעדות ובאירועים."
חדפ013,מזלג חד פעמי 100 יחידות,חד פעמי ואריזות,tableware,יחידה,images/חד פעמי ואריזות/מזלג חד פעמי 100 יחידות.png,4,,,,"מזלג חד-פעמי במארז 100 יחידות. פריט יסוד במטבחונים משרדיים, בקייטרינג ובמשלוחי מזון, בכמות שמספיקה לשימוש שוטף."
חדפ014,מזלג קשיח - 50 יח׳,חד פעמי ואריזות,tableware,יחידה,images/חד פעמי ואריזות/מזלג קשיח - 50 יח׳.png,4.5,,,,מזלג קשיח במארז 50 יחידות — חזק יותר ולא נשבר במנות כבדות או בבשר. הבחירה המקובלת במסעדות ובאירועים שבהם מראה ההגשה חשוב.
חדפ015,סכין חד פעמי 100 יחידות,חד פעמי ואריזות,tableware,יחידה,images/חד פעמי ואריזות/סכין חד פעמי 100 יחידות.png,4,,,,סכין חד-פעמית במארז 100 יחידות למנות מוגשות ולמשלוחי מזון. משלימה ערכת סכו״ם חד-פעמי במטבחון או בעסק מזון.
חדפ016,סכין קשיח - 50 יח׳,חד פעמי ואריזות,tableware,יחידה,images/חד פעמי ואריזות/סכין קשיח - 50 יח׳.png,4.5,,,,"סכין קשיחה במארז 50 יחידות — חיתוך יעיל יותר ממקבילתה הרגילה, גם בבשר ובמנות מלאות. מתאימה למסעדות, לקייטרינג ולאירועים."
חדפ017,צלחות פלסטיק גדולות - 100 יח׳,חד פעמי ואריזות,tableware,יחידה,images/חד פעמי ואריזות/צלחות פלסטיק גדולות - 100 יח׳.png,0,,,,"צלחות פלסטיק גדולות באריזת 100 יחידות. הגודל מיועד למנה עיקרית מלאה, והאריזה הגדולה מתאימה לצריכה שוטפת במסעדות, בקייטרינג ובאירועים."
חדפ018,צלחת מתכלה בינוני,חד פעמי ואריזות,tableware,יחידה,images/חד פעמי ואריזות/צלחת מתכלה בינוני.png,0,,,,"צלחת מתכלה בגודל בינוני — ידידותית לסביבה ומתאימה למנות ביניים, סלטים ותוספות. עסקים רבים עוברים לחד-פעמי מתכלה מסיבות סביבתיות ותדמיתיות."
חדפ019,צלחת מתכלה גדול,חד פעמי ואריזות,tableware,יחידה,images/חד פעמי ואריזות/צלחת מתכלה גדול.png,0,,,,"צלחת מתכלה בגודל גדול למנה עיקרית. פתרון חד-פעמי ידידותי לסביבה למסעדות, לקייטרינג ולאירועים שרוצים להימנע מפלסטיק."
חדפ020,צלחת מתכלה ענק,חד פעמי ואריזות,tableware,יחידה,images/חד פעמי ואריזות/צלחת מתכלה ענק.png,0,,,,"צלחת מתכלה בגודל ענק למנות מלאות ולמנות עסקיות. הגודל המרבי בסדרה המתכלה, למסעדות ולקייטרינג עם מנות נדיבות."
חדפ021,קופסת סלט 250 מל,חד פעמי ואריזות,containers,יחידה,images/חד פעמי ואריזות/קופסת סלט 250 מל.webp,0,,,,"קופסת סלט חד-פעמית בנפח 250 מ״ל. גודל אישי לסלטים, לממרחים ולתוספות, ומתאים לעסקי משלוחים, לחנויות נוחות ולמנות עסקיות."
חדפ022,קופסת פלסטיק 1/1.5/2 ליטר,חד פעמי ואריזות,containers,יחידה,images/חד פעמי ואריזות/קופסת פלסטיק 1-1.5-2 ליטר.png,0,,,,"קופסת פלסטיק חד-פעמית בנפחים 1, 1.5 ו-2 ליטר. שלושת הנפחים מכסים אריזה של סלטים, מרקים ומנות משפחתיות — פתרון אריזה מרכזי לעסקי מזון וטייק-אווי."
חדפ023,קערת חומוס 750 מ״ל,חד פעמי ואריזות,containers,יחידה,images/חד פעמי ואריזות/קערת חומוס 750 מ״ל.webp,0,,,,"קערת חומוס חד-פעמית בנפח 750 מ״ל. הנפח מתאים למנה זוגית או משפחתית של חומוס, סלטים וממרחים, ומשמש חומוסיות ועסקי משלוחים."
חדפ024,קערת חומוס ליטר מ״ל,חד פעמי ואריזות,containers,יחידה,images/חד פעמי ואריזות/קערת חומוס ליטר מ״ל.webp,0,,,,"קערת חומוס חד-פעמית בנפח ליטר — הגודל המשפחתי בסדרה. מיועדת לממרחים, לסלטים ולמנות גדולות במשלוחים ובקייטרינג."
טיפ001,DOVE סבון מוצק קלאסי רביעיה 4*90 גר'נה,טיפוח והיגיינה,,יחידה,images/טיפוח והיגיינה/תמוDOVE סבון מוצק קלאסי רביעיה 4*90 גרנה1.webp,12,,,,"סבון מוצק קלאסי של DOVE במארז רביעייה, 90 גרם ליחידה. מותג מוכר בעל מרכיב לחות, שמתאים לשירותים במקומות אירוח, במשרדים ובמוסדות."
טיפ002,אבקת כביסה 7 קג,טיפוח והיגיינה,,יחידה,images/טיפוח והיגיינה/אבקת כביסה 7 קג.webp,0,,,,"אבקת כביסה באריזת 7 ק״ג — פורמט מוסדי למכבסות, למוסדות ולעסקים שמכבסים מדים, מגבות ומצעים בכמות. עלות נמוכה לכביסה מול אריזות ביתיות."
טיפ003,ג ל כביסה 2.5 ליטר פרסיל,טיפוח והיגיינה,,יחידה,images/טיפוח והיגיינה/ג_ל כביסה 2.5 ליטר - פרסיל.webp,0,,,,"ג׳ל כביסה פרסיל באריזת 2.5 ליטר. הג׳ל נמס מיד גם בכביסה קרה ולא משאיר שאריות אבקה, ולכן מועדף למכונות תעשייתיות ולכביסה תכופה."
טיפ004,דאודורנט גברים axe,טיפוח והיגיינה,,יחידה,images/טיפוח והיגיינה/דאודורנט גברים axe.webp,11,,,,"דאודורנט לגברים של AXE — מותג מוביל בקטגוריה עם קהל מזוהה. מתאים לחנויות נוחות, לקיוסקים ולמכירה קמעונאית."
טיפ005,דאודורנט גברים nivea,טיפוח והיגיינה,,יחידה,images/טיפוח והיגיינה/דאודורנט גברים nivea.webp,9.9,,,,"דאודורנט לגברים של NIVEA. מותג ותיק ומוכר עם מיצוב טיפוחי, שמתאים למדף בחנויות נוחות, בפארם ובמינימרקטים."
טיפ006,דאודורנט נשים rexsona,טיפוח והיגיינה,,יחידה,images/טיפוח והיגיינה/דאודורנט נשים rexsona.webp,0,,,,"דאודורנט לנשים של Rexona — מותג מוכר בהגנה מפני הזעה. פריט מדף שוטף בחנויות נוחות, בפארם ובמינימרקטים."
טיפ007,טיטולים למבוגרים 14 יח׳,טיפוח והיגיינה,,יחידה,images/טיפוח והיגיינה/טיטולים למבוגרים 14 יח׳.webp,50,,,,"טיטולים למבוגרים במארז 14 יחידות. מוצר סיעודי בסיסי לבתי אבות, למוסדות סיעודיים ולטיפול ביתי, ומוזמן בדרך כלל באופן קבוע ומתמשך."
טיפ008,מברשות שיניים אורל בי שישייה,טיפוח והיגיינה,,יחידה,images/טיפוח והיגיינה/מברשות שיניים אורל בי שישייה.webp,12,,,,"מברשות שיניים אורל בי במארז שישייה. מותג מוביל בהיגיינת הפה, במארז שמתאים למכירה קמעונאית ולשימוש מוסדי."
טיפ009,מגבונים לחים,טיפוח והיגיינה,,יחידה,images/טיפוח והיגיינה/מגבונים לחים.webp,2,,,,"מגבונים לחים לניקוי ידיים ופנים. מוצר נוח לשימוש מחוץ לבית, ופריט מדף מבוקש בחנויות נוחות, במעונות ובמרפאות."
טיפ010,מגן תחתון אולוויז נורמל פרש 56 יח',טיפוח והיגיינה,,יחידה,images/טיפוח והיגיינה/מגן תחתון אולוויז נורמל פרש 56 יח.webp,22,,,,"מגן תחתון אולוויז נורמל פרש במארז 56 יחידות. מוצר היגיינה נשית לשימוש יומיומי, בכמות שמתאימה למכירה קמעונאית ולמלאי שוטף."
טיפ011,משחת שיניים קולגייט אדומה 100 מל,טיפוח והיגיינה,,יחידה,images/טיפוח והיגיינה/משחת שיניים קולגייט אדומה 100 מל.webp,10,,,,"משחת שיניים קולגייט אדומה 100 מ״ל — המשחה הקלאסית והמוכרת של המותג. פריט מדף בסיסי בחנויות נוחות, בפארם ובמינימרקטים."
טיפ012,משחת שיניים קולגייט מקס פרש עם פחם במבוק 100 מל,טיפוח והיגיינה,,יחידה,images/טיפוח והיגיינה/משחת שיניים קולגייט מקס פרש עם פחם במבוק 100 מל.webp,10,,,,"משחת שיניים קולגייט מקס פרש עם פחם במבוק, 100 מ״ל. גרסה עם פחם במבוק להלבנה ולתחושת רעננות, בקו מוצרים שמושך קהל שמחפש טיפוח מתקדם."
טיפ013,שמפו הד אנד שולדרס ניחוח קלאסי 400 מל,טיפוח והיגיינה,,יחידה,images/טיפוח והיגיינה/שמפו הד אנד שולדרס ניחוח קלאסי 400 מל.webp,18,,,,"שמפו הד אנד שולדרס בניחוח קלאסי, 400 מ״ל. שמפו נגד קשקשים מהמובילים בקטגוריה, בנפח שמתאים למכירה קמעונאית."
טיפ014,תחליב רחצה פלמוליב,טיפוח והיגיינה,,יחידה,images/טיפוח והיגיינה/תחליב רחצה פלמוליב.webp,20,,,,"תחליב רחצה פלמוליב לשימוש יומיומי. מותג ותיק ומוכר במחיר נגיש, שמתאים לחנויות נוחות, למינימרקטים ולשימוש מוסדי."
מבש001,מבשם אויר בלו דרים,מבשמים,,יחידה,images/מבשמים/מבשם אויר - בלו דרים.webp,27.5,,,,"מבשם אוויר בניחוח בלו דרים לחללי עבודה, שירותים וחדרי קבלת קהל. ריח נעים בחלל הוא חלק מהרושם שהעסק משאיר על לקוחות ועובדים."
מבש002,מבשם בוטיק Water,מבשמים,,יחידה,images/מבשמים/מבשם בוטיק -Water.webp,15,,,,"מבשם בוטיק בניחוח Water — ניחוח נקי ורענן בסגנון בתי מלון ומרחבי בוטיק. מתאים ללובי, לחדרי המתנה ולחללי אירוח."
מבש003,מבשם למתקן אוטומטי,מבשמים,,יחידה,images/מבשמים/מבשם למתקן אוטומטי.webp,0,,,,מבשם ייעודי למתקן אוטומטי — מתיז במרווחי זמן קבועים ושומר על ריח אחיד לאורך היום בלי התערבות. הפתרון המקובל לשירותים ציבוריים ולמסדרונות במוסדות ובבנייני משרדים.
מבש004,מבשם נטול גז,מבשמים,,יחידה,images/מבשמים/מבשם נטול גז.webp,0,,,,"מבשם נטול גז — מתיז בלי דוחפים, ולכן מתאים לחללים סגורים ולמקומות עם רגישות לתרסיסים. חלופה ידידותית יותר למבשמי אירוסול."
מוצ001,גליל נייר תעשייתי 5004,מוצרי נייר,hand-towels,יחידה,images/מוצרי נייר/גליל נייר תעשייתי 5004.webp,60,,,,"גליל נייר תעשייתי דגם 5004 לניגוב ידיים, משטחים וציוד. גליל תעשייתי הוא הפורמט המקובל במפעלים, במוסכים ובמטבחים מסחריים בזכות כמות הנייר הגדולה בגליל אחד והחלפות נדירות יותר."
מוצ002,גליל נייר תעשייתי גולד,מוצרי נייר,hand-towels,יחידה,images/מוצרי נייר/גליל נייר תעשייתי גולד.webp,48,,,,"גליל נייר תעשייתי גולד לניגוב ידיים וציוד בעסק. איכות נייר גבוהה יותר מהגליל התעשייתי הבסיסי, למקומות שבהם גם ספיגות וגם מראה חשובים — כמו מטבחי מסעדות ואזורי קבלת קהל."
מוצ003,גליל תעשייתי ורד צר,מוצרי נייר,hand-towels,יחידה,images/מוצרי נייר/גליל תעשייתי ורד צר.webp,48,,,,גליל תעשייתי ורד בגרסה צרה — רוחב מצומצם שמתאים לעמדות עבודה שבהן אין מקום לגליל מלא. פתרון נפוץ בעמדות ניגוב נקודתיות במטבח ובמעבדה.
מוצ004,גליל תעשייתי פרח 1200,מוצרי נייר,hand-towels,יחידה,images/מוצרי נייר/גליל תעשייתי פרח 1200.webp,55,,,,"גליל תעשייתי פרח 1200 לניגוב ידיים ומשטחים. כמות הנייר בגליל מיועדת לצריכה מוסדית שוטפת, ומפחיתה את תדירות ההחלפה בעמדות עמוסות."
מוצ005,מגבת ידיים שישייה קימברלי,מוצרי נייר,hand-towels,יחידה,images/מוצרי נייר/מגבת ידיים שישייה קימברלי.webp,105,,,,"מגבת ידיים במארז שישייה של קימברלי קלארק — נייר מגבת לניגוב ידיים. קימברלי קלארק היא מהמותגים המובילים בנייר מוסדי, והמארז מתאים לשירותים במשרדים, בבתי ספר ובמרפאות."
מוצ006,ממחטות אף טישו,מוצרי נייר,,יחידה,images/מוצרי נייר/ממחטות אף טישו.webp,2,,,,"ממחטות אף טישו לשימוש במשרדים, בחדרי המתנה ובעמדות קבלת קהל. פריט קטן שנגמר מהר במקומות עם תנועת אנשים, ולכן משתלם להזמין בסיטונאות."
מוצ007,נייר טואלט 48,מוצרי נייר,toilet-paper,יחידה,images/מוצרי נייר/נייר טואלט 48.webp,35,,,,"נייר טואלט במארז 48 גלילים — פורמט מוסדי לשירותים בעסק. כמות שנועדה להחזיק מלאי לאורך זמן במשרדים, במפעלים ובמוסדות, במחיר סיטונאי לגליל."
מוצ008,נייר טואלט ג׳מבו טישו 1/12,מוצרי נייר,toilet-paper,יחידה,images/מוצרי נייר/נייר טואלט ג׳מבו טישו 1_12.webp,39,,,,"נייר טואלט ג׳מבו טישו 1/12 לשימוש מוסדי. גליל הג׳מבו מחזיק הרבה יותר מגליל רגיל ולכן מצמצם החלפות ומונע מחסור בשירותים ציבוריים — פתרון מקובל בבתי ספר, בקניונים ובבנייני משרדים."
מוצ009,נייר טואלט קומפקט 80 - 36 יח׳,מוצרי נייר,toilet-paper,יחידה,images/מוצרי נייר/נייר טואלט קומפקט 80 - 36 יח_.webp,97,,,,נייר טואלט קומפקט 80 במארז 36 יחידות. פורמט קומפקטי שחוסך מקום באחסון ומתאים לשירותים במשרדים ובמוסדות עם שימוש שוטף.
מוצ010,נייר ניגוב ידיים טבורי 3232S,מוצרי נייר,hand-towels,יחידה,images/מוצרי נייר/נייר ניגוב ידיים טבורי 3232S.webp,90,,,,"נייר ניגוב ידיים טבורי דגם 3232S. נייר ניגוב ידיים הוא הסטנדרט ההיגייני בשירותים של עסקים ומוסדות — יבש מהר, לשימוש חד-פעמי ובלי מגע בין משתמשים."
מוצ011,נייר ניגוב ידיים נטורה 1/6,מוצרי נייר,hand-towels,יחידה,images/מוצרי נייר/נייר ניגוב ידיים נטורה 1-6.jpeg,26,,,,"נייר ניגוב ידיים נטורה בקיפול 1/6. הקיפול מאפשר שליפה של יחידה אחת בכל פעם, מה שמפחית בזבוז נייר בשירותים ציבוריים עמוסים."
מוצ012,נייר ניגוב ידיים סלים רול,מוצרי נייר,hand-towels,יחידה,images/מוצרי נייר/נייר ניגוב ידיים סלים רול.webp,75,,,,נייר ניגוב ידיים סלים רול. הגליל הדק חוסך מקום בעמדה ומיועד לשירותים במשרדים ובחללי מסחר עם מקום מצומצם.
מוצ013,נייר ניגוב תאית 6 יחידות,מוצרי נייר,hand-towels,יחידה,images/מוצרי נייר/נייר ניגוב תאית 6 יחידות.webp,48,,,,"נייר ניגוב תאית במארז 6 יחידות. נייר תאית לבן ונקי יותר מנייר ממוחזר, ומתאים לניגוב ידיים ומשטחים באזורי מזון ובמקומות עם דרישות היגיינה גבוהות."
מוצ014,צץ רץ 4000,מוצרי נייר,hand-towels,יחידה,images/מוצרי נייר/צץ רץ 4000.webp,48,,,,"צץ רץ 4000 — נייר ניגוב ידיים בשליפה יחידנית. שיטת ה״צץ רץ״ מונעת מגע בשאר הניירות ולכן היא סטנדרט היגייני בשירותים ציבוריים, במטבחים ובמרפאות."
מוצ015,צץ רץ דו שכבתי 2500 יחידות,מוצרי נייר,hand-towels,יחידה,images/מוצרי נייר/צץ רץ דו שכבתי 2500 יחידות.webp,72,,,,"צץ רץ דו-שכבתי 2500 יחידות. שתי השכבות סופגות יותר מנייר חד-שכבתי, כך שדרושות פחות יחידות לכל ניגוב — יתרון בשירותים עם תנועה גבוהה."
